sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
16,A,Southern Miss,Jacksonville State,Braylon Braxton,QB,47,22,208.7,0,0,9,0,0.0,0,0,0,0.0,0
16,A,Southern Miss,Jacksonville State,Braylon Braxton,Rusher,0,0,0.0,0,0,0,8,37.6,0,0,0,0.0,0
16,A,Southern Miss,Jacksonville State,Jeffery Pittman,Rusher,0,0,0.0,0,0,0,16,35.1,0,0,0,0.0,0
16,A,Southern Miss,Jacksonville State,Matt Jones,Rusher,0,0,0.0,0,0,0,6,14.2,0,0,0,0.0,0
16,A,Southern Miss,Jacksonville State,Other RB,Rusher,0,0,0.0,0,0,0,5,21.0,0,0,0,0.0,0
16,A,Southern Miss,Jacksonville State,Robert Briggs,Rusher,0,0,0.0,0,0,0,4,17.4,0,0,0,0.0,0
16,A,Southern Miss,Jacksonville State,Bralon Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,57.6,0
16,A,Southern Miss,Jacksonville State,Carl Chester,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,13,56.7,0
16,A,Southern Miss,Jacksonville State,Elijah Metcalf,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,8,12.1,0
16,A,Southern Miss,Jacksonville State,Micah Davis,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,15.6,0
16,A,Southern Miss,Jacksonville State,Kyirin Heath,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,20.7,0
16,A,Southern Miss,Jacksonville State,Kadinn Morris,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,24.8,0
16,A,Southern Miss,Jacksonville State,Tychaun Chapman,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,4.5,0
16,A,Southern Miss,Jacksonville State,TJ Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,16.6,0
16,A,Southern Miss,Jacksonville State,Cace Reed,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
16,A,Jacksonville State,Southern Miss,Gavin Wimsatt,QB,29,13,153.8,0,1,4,0,0.0,0,0,0,0.0,0
16,A,Jacksonville State,Southern Miss,Gavin Wimsatt,Rusher,0,0,0.0,0,0,0,9,22.7,1,0,0,0.0,0
16,A,Jacksonville State,Southern Miss,Andrew Paul,Rusher,0,0,0.0,0,0,0,7,23.3,0,0,0,0.0,0
16,A,Jacksonville State,Southern Miss,Cam Cook,Rusher,0,0,0.0,0,0,0,30,133.2,1,0,0,0.0,0
16,A,Jacksonville State,Southern Miss,Khristian Lando,Rusher,0,0,0.0,0,0,0,6,38.0,0,0,0,0.0,0
16,A,Jacksonville State,Southern Miss,Harrison Hamsley,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,6,0.0,0
16,A,Jacksonville State,Southern Miss,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,34.8,0
16,A,Jacksonville State,Southern Miss,Caleb Coombs,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,28.5,0
16,A,Jacksonville State,Southern Miss,Pearson Baldwin,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,0.0,0
16,A,Jacksonville State,Southern Miss,Michael Pettway,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,2.5,0
16,A,Jacksonville State,Southern Miss,Brock Rechsteiner,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,16.0,0
16,A,Jacksonville State,Southern Miss,Deondre Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,53.8,0
16,A,Jacksonville State,Southern Miss,Gabe Glover,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,18.3,0
16,A,Jacksonville State,Southern Miss,Franklin Baret Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
17,B,Jacksonville State,Southern Miss,Gavin Wimsatt,QB,38,24,220.4,2,1,3,0,0.0,0,0,0,0.0,0
17,B,Jacksonville State,Southern Miss,Cam Cook,Rusher,0,0,0.0,0,0,0,21,76.9,0,0,0,0.0,0
17,B,Jacksonville State,Southern Miss,Andrew Paul,Rusher,0,0,0.0,0,0,0,2,7.4,0,0,0,0.0,0
17,B,Jacksonville State,Southern Miss,Gavin Wimsatt,Rusher,0,0,0.0,0,0,0,10,5.6,0,0,0,0.0,0
17,B,Jacksonville State,Southern Miss,Khristian Lando,Rusher,0,0,0.0,0,0,0,2,6.8,0,0,0,0.0,0
17,B,Jacksonville State,Southern Miss,Caleb Coombs,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,11,71.0,1
17,B,Jacksonville State,Southern Miss,Brock Rechsteiner,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,9.8,0
17,B,Jacksonville State,Southern Miss,Gabe Glover,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,3,0.0,0
17,B,Jacksonville State,Southern Miss,Deondre Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,8,29.9,1
17,B,Jacksonville State,Southern Miss,Harrison Hamsley,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,24.1,0
17,B,Jacksonville State,Southern Miss,Franklin Baret Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,9.1,0
17,B,Jacksonville State,Southern Miss,Pearson Baldwin,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,62.4,0
17,B,Jacksonville State,Southern Miss,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,14.2,0
17,B,Southern Miss,Jacksonville State,Braylon Braxton,QB,29,15,162.8,0,0,6,0,0.0,0,0,0,0.0,0
17,B,Southern Miss,Jacksonville State,Robert Briggs,Rusher,0,0,0.0,0,0,0,10,67.5,2,0,0,0.0,0
17,B,Southern Miss,Jacksonville State,Braylon Braxton,Rusher,0,0,0.0,0,0,0,8,24.9,0,0,0,0.0,0
17,B,Southern Miss,Jacksonville State,Other RB,Rusher,0,0,0.0,0,0,0,6,32.6,0,0,0,0.0,0
17,B,Southern Miss,Jacksonville State,Jeffery Pittman,Rusher,0,0,0.0,0,0,0,16,47.0,0,0,0,0.0,0
17,B,Southern Miss,Jacksonville State,Matt Jones,Rusher,0,0,0.0,0,0,0,9,47.2,1,0,0,0.0,0
17,B,Southern Miss,Jacksonville State,Kadinn Morris,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
17,B,Southern Miss,Jacksonville State,Carl Chester,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,64.6,0
17,B,Southern Miss,Jacksonville State,Bralon Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,7,21.5,0
17,B,Southern Miss,Jacksonville State,Jermane Hayes,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,22.2,0
17,B,Southern Miss,Jacksonville State,TJ Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,4.9,0
17,B,Southern Miss,Jacksonville State,Elijah Metcalf,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,38.2,0
17,B,Southern Miss,Jacksonville State,Tychaun Chapman,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
17,B,Southern Miss,Jacksonville State,Kyirin Heath,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,11.2,0
17,B,Southern Miss,Jacksonville State,Micah Davis,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
18,A,Southern Miss,Jacksonville State,Braylon Braxton,QB,52,30,255.3,1,0,6,0,0.0,0,0,0,0.0,0
18,A,Southern Miss,Jacksonville State,Braylon Braxton,Rusher,0,0,0.0,0,0,0,9,35.6,0,0,0,0.0,0
18,A,Southern Miss,Jacksonville State,Matt Jones,Rusher,0,0,0.0,0,0,0,8,36.0,0,0,0,0.0,0
18,A,Southern Miss,Jacksonville State,Other RB,Rusher,0,0,0.0,0,0,0,5,29.9,0,0,0,0.0,0
18,A,Southern Miss,Jacksonville State,Jeffery Pittman,Rusher,0,0,0.0,0,0,0,8,37.5,1,0,0,0.0,0
18,A,Southern Miss,Jacksonville State,Robert Briggs,Rusher,0,0,0.0,0,0,0,7,20.5,0,0,0,0.0,0
18,A,Southern Miss,Jacksonville State,Elijah Metcalf,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,7,19.7,0
18,A,Southern Miss,Jacksonville State,Kyirin Heath,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,9,40.4,0
18,A,Southern Miss,Jacksonville State,Bralon Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,51.0,1
18,A,Southern Miss,Jacksonville State,Tychaun Chapman,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,27.8,0
18,A,Southern Miss,Jacksonville State,Micah Davis,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,37.8,0
18,A,Southern Miss,Jacksonville State,Carl Chester,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,13,28.9,0
18,A,Southern Miss,Jacksonville State,Kadinn Morris,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,3.9,0
18,A,Southern Miss,Jacksonville State,TJ Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,21.0,0
18,A,Southern Miss,Jacksonville State,Jaylin Carter,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
18,A,Southern Miss,Jacksonville State,Jermane Hayes,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,13.3,0
18,A,Southern Miss,Jacksonville State,Cace Reed,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,11.6,0
18,A,Jacksonville State,Southern Miss,Gavin Wimsatt,QB,40,23,258.5,1,0,3,0,0.0,0,0,0,0.0,0
18,A,Jacksonville State,Southern Miss,Cam Cook,Rusher,0,0,0.0,0,0,0,18,71.3,2,0,0,0.0,0
18,A,Jacksonville State,Southern Miss,Gavin Wimsatt,Rusher,0,0,0.0,0,0,0,10,29.1,0,0,0,0.0,0
18,A,Jacksonville State,Southern Miss,Andrew Paul,Rusher,0,0,0.0,0,0,0,7,12.3,0,0,0,0.0,0
18,A,Jacksonville State,Southern Miss,Khristian Lando,Rusher,0,0,0.0,0,0,0,1,2.3,0,0,0,0.0,0
18,A,Jacksonville State,Southern Miss,Brock Rechsteiner,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,7,13.4,0
18,A,Jacksonville State,Southern Miss,Pearson Baldwin,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,17.8,0
18,A,Jacksonville State,Southern Miss,Caleb Coombs,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,7,19.9,0
18,A,Jacksonville State,Southern Miss,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,35.8,1
18,A,Jacksonville State,Southern Miss,Deondre Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,30.2,0
18,A,Jacksonville State,Southern Miss,Harrison Hamsley,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,85.0,0
18,A,Jacksonville State,Southern Miss,Franklin Baret Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,48.5,0
18,A,Jacksonville State,Southern Miss,Michael Pettway,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,8.1,0
19,B,Jacksonville State,Southern Miss,Gavin Wimsatt,QB,37,18,192.6,0,0,6,0,0.0,0,0,0,0.0,0
19,B,Jacksonville State,Southern Miss,Cam Cook,Rusher,0,0,0.0,0,0,0,16,64.2,0,0,0,0.0,0
19,B,Jacksonville State,Southern Miss,Gavin Wimsatt,Rusher,0,0,0.0,0,0,0,8,28.9,1,0,0,0.0,0
19,B,Jacksonville State,Southern Miss,Khristian Lando,Rusher,0,0,0.0,0,0,0,1,-4.1,0,0,0,0.0,0
19,B,Jacksonville State,Southern Miss,Andrew Paul,Rusher,0,0,0.0,0,0,0,9,30.6,0,0,0,0.0,0
19,B,Jacksonville State,Southern Miss,Deondre Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,11,35.0,0
19,B,Jacksonville State,Southern Miss,Caleb Coombs,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,9,79.3,0
19,B,Jacksonville State,Southern Miss,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,11.2,0
19,B,Jacksonville State,Southern Miss,Brock Rechsteiner,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,7,27.7,0
19,B,Jacksonville State,Southern Miss,Pearson Baldwin,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,23.2,0
19,B,Jacksonville State,Southern Miss,Harrison Hamsley,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,5.0,0
19,B,Jacksonville State,Southern Miss,Gabe Glover,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,11.2,0
19,B,Southern Miss,Jacksonville State,Braylon Braxton,QB,37,21,191.6,0,0,5,0,0.0,0,0,0,0.0,0
19,B,Southern Miss,Jacksonville State,Robert Briggs,Rusher,0,0,0.0,0,0,0,7,25.0,0,0,0,0.0,0
19,B,Southern Miss,Jacksonville State,Jeffery Pittman,Rusher,0,0,0.0,0,0,0,21,77.5,0,0,0,0.0,0
19,B,Southern Miss,Jacksonville State,Braylon Braxton,Rusher,0,0,0.0,0,0,0,12,65.0,1,0,0,0.0,0
19,B,Southern Miss,Jacksonville State,Matt Jones,Rusher,0,0,0.0,0,0,0,8,37.7,1,0,0,0.0,0
19,B,Southern Miss,Jacksonville State,Other RB,Rusher,0,0,0.0,0,0,0,2,18.7,0,0,0,0.0,0
19,B,Southern Miss,Jacksonville State,Tychaun Chapman,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,11.0,0
19,B,Southern Miss,Jacksonville State,Kadinn Morris,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,8,52.0,0
19,B,Southern Miss,Jacksonville State,Bralon Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,31.0,0
19,B,Southern Miss,Jacksonville State,Elijah Metcalf,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,5,9.4,0
19,B,Southern Miss,Jacksonville State,Carl Chester,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,12,50.0,0
19,B,Southern Miss,Jacksonville State,TJ Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,3.5,0
19,B,Southern Miss,Jacksonville State,Jermane Hayes,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,10.4,0
19,B,Southern Miss,Jacksonville State,Kyirin Heath,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
19,B,Southern Miss,Jacksonville State,Micah Davis,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,24.3,0
20,A,Southern Miss,Jacksonville State,Braylon Braxton,QB,47,27,267.1,0,0,5,0,0.0,0,0,0,0.0,0
20,A,Southern Miss,Jacksonville State,Matt Jones,Rusher,0,0,0.0,0,0,0,4,30.9,1,0,0,0.0,0
20,A,Southern Miss,Jacksonville State,Jeffery Pittman,Rusher,0,0,0.0,0,0,0,9,45.0,0,0,0,0.0,0
20,A,Southern Miss,Jacksonville State,Braylon Braxton,Rusher,0,0,0.0,0,0,0,14,28.2,0,0,0,0.0,0
20,A,Southern Miss,Jacksonville State,Other RB,Rusher,0,0,0.0,0,0,0,2,-5.4,0,0,0,0.0,0
20,A,Southern Miss,Jacksonville State,Robert Briggs,Rusher,0,0,0.0,0,0,0,6,30.0,0,0,0,0.0,0
20,A,Southern Miss,Jacksonville State,Kadinn Morris,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,11.6,0
20,A,Southern Miss,Jacksonville State,Carl Chester,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,10,64.0,0
20,A,Southern Miss,Jacksonville State,Kyirin Heath,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
20,A,Southern Miss,Jacksonville State,Jermane Hayes,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
20,A,Southern Miss,Jacksonville State,Elijah Metcalf,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,9,63.3,0
20,A,Southern Miss,Jacksonville State,Bralon Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,7,47.2,0
20,A,Southern Miss,Jacksonville State,Tychaun Chapman,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,7,48.6,0
20,A,Southern Miss,Jacksonville State,Micah Davis,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,4.3,0
20,A,Southern Miss,Jacksonville State,TJ Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,28.0,0
20,A,Jacksonville State,Southern Miss,Gavin Wimsatt,QB,39,26,318.3,2,0,2,0,0.0,0,0,0,0.0,0
20,A,Jacksonville State,Southern Miss,Cam Cook,Rusher,0,0,0.0,0,0,0,25,124.5,2,0,0,0.0,0
20,A,Jacksonville State,Southern Miss,Gavin Wimsatt,Rusher,0,0,0.0,0,0,0,7,22.1,0,0,0,0.0,0
20,A,Jacksonville State,Southern Miss,Andrew Paul,Rusher,0,0,0.0,0,0,0,7,29.3,0,0,0,0.0,0
20,A,Jacksonville State,Southern Miss,Khristian Lando,Rusher,0,0,0.0,0,0,0,1,3.0,0,0,0,0.0,0
20,A,Jacksonville State,Southern Miss,Franklin Baret Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,38.7,0
20,A,Jacksonville State,Southern Miss,Deondre Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,35.5,0
20,A,Jacksonville State,Southern Miss,Brock Rechsteiner,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,12,69.1,0
20,A,Jacksonville State,Southern Miss,Michael Pettway,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,19.3,1
20,A,Jacksonville State,Southern Miss,Harrison Hamsley,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,54.2,0
20,A,Jacksonville State,Southern Miss,Caleb Coombs,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,91.6,1
20,A,Jacksonville State,Southern Miss,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,6.1,0
20,A,Jacksonville State,Southern Miss,Pearson Baldwin,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,3.8,0
21,B,Jacksonville State,Southern Miss,Gavin Wimsatt,QB,34,21,220.3,1,0,2,0,0.0,0,0,0,0.0,0
21,B,Jacksonville State,Southern Miss,Cam Cook,Rusher,0,0,0.0,0,0,0,28,124.9,2,0,0,0.0,0
21,B,Jacksonville State,Southern Miss,Andrew Paul,Rusher,0,0,0.0,0,0,0,6,14.6,0,0,0,0.0,0
21,B,Jacksonville State,Southern Miss,Gavin Wimsatt,Rusher,0,0,0.0,0,0,0,12,43.0,0,0,0,0.0,0
21,B,Jacksonville State,Southern Miss,Khristian Lando,Rusher,0,0,0.0,0,0,0,2,15.3,1,0,0,0.0,0
21,B,Jacksonville State,Southern Miss,Gabe Glover,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.0,0
21,B,Jacksonville State,Southern Miss,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,7.7,0
21,B,Jacksonville State,Southern Miss,Michael Pettway,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,10.2,0
21,B,Jacksonville State,Southern Miss,Harrison Hamsley,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,12.2,0
21,B,Jacksonville State,Southern Miss,Brock Rechsteiner,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,8,62.0,0
21,B,Jacksonville State,Southern Miss,Franklin Baret Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,39.6,0
21,B,Jacksonville State,Southern Miss,Pearson Baldwin,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,18.1,0
21,B,Jacksonville State,Southern Miss,Deondre Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,7,49.5,1
21,B,Jacksonville State,Southern Miss,Caleb Coombs,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,20.9,0
21,B,Southern Miss,Jacksonville State,Braylon Braxton,QB,40,26,233.7,1,0,6,0,0.0,0,0,0,0.0,0
21,B,Southern Miss,Jacksonville State,Matt Jones,Rusher,0,0,0.0,0,0,0,8,14.1,1,0,0,0.0,0
21,B,Southern Miss,Jacksonville State,Braylon Braxton,Rusher,0,0,0.0,0,0,0,14,113.5,1,0,0,0.0,0
21,B,Southern Miss,Jacksonville State,Jeffery Pittman,Rusher,0,0,0.0,0,0,0,12,25.7,1,0,0,0.0,0
21,B,Southern Miss,Jacksonville State,Other RB,Rusher,0,0,0.0,0,0,0,4,25.1,0,0,0,0.0,0
21,B,Southern Miss,Jacksonville State,Robert Briggs,Rusher,0,0,0.0,0,0,0,2,16.4,0,0,0,0.0,0
21,B,Southern Miss,Jacksonville State,Bralon Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,13,89.1,1
21,B,Southern Miss,Jacksonville State,Elijah Metcalf,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,57.6,0
21,B,Southern Miss,Jacksonville State,Carl Chester,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,7,37.4,0
21,B,Southern Miss,Jacksonville State,Tychaun Chapman,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,12.0,0
21,B,Southern Miss,Jacksonville State,Cace Reed,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,11.9,0
21,B,Southern Miss,Jacksonville State,Micah Davis,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,11.4,0
21,B,Southern Miss,Jacksonville State,Jermane Hayes,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
21,B,Southern Miss,Jacksonville State,Kadinn Morris,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
21,B,Southern Miss,Jacksonville State,Kyirin Heath,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,14.3,0
22,A,Southern Miss,Jacksonville State,Braylon Braxton,QB,29,16,183.5,1,0,9,0,0.0,0,0,0,0.0,0
22,A,Southern Miss,Jacksonville State,Braylon Braxton,Rusher,0,0,0.0,0,0,0,8,35.7,0,0,0,0.0,0
22,A,Southern Miss,Jacksonville State,Other RB,Rusher,0,0,0.0,0,0,0,3,13.6,0,0,0,0.0,0
22,A,Southern Miss,Jacksonville State,Matt Jones,Rusher,0,0,0.0,0,0,0,9,21.2,0,0,0,0.0,0
22,A,Southern Miss,Jacksonville State,Jeffery Pittman,Rusher,0,0,0.0,0,0,0,20,53.9,0,0,0,0.0,0
22,A,Southern Miss,Jacksonville State,Robert Briggs,Rusher,0,0,0.0,0,0,0,5,33.0,0,0,0,0.0,0
22,A,Southern Miss,Jacksonville State,Bralon Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,6,66.4,1
22,A,Southern Miss,Jacksonville State,Micah Davis,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,22.6,0
22,A,Southern Miss,Jacksonville State,Elijah Metcalf,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,34.9,0
22,A,Southern Miss,Jacksonville State,Jermane Hayes,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
22,A,Southern Miss,Jacksonville State,Kyirin Heath,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,5.0,0
22,A,Southern Miss,Jacksonville State,Carl Chester,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,6,0.0,0
22,A,Southern Miss,Jacksonville State,TJ Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,19.9,0
22,A,Southern Miss,Jacksonville State,Cace Reed,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,24.1,0
22,A,Southern Miss,Jacksonville State,Kadinn Morris,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,10.5,0
22,A,Southern Miss,Jacksonville State,Tychaun Chapman,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
22,A,Jacksonville State,Southern Miss,Gavin Wimsatt,QB,29,17,242.8,3,0,3,0,0.0,0,0,0,0.0,0
22,A,Jacksonville State,Southern Miss,Andrew Paul,Rusher,0,0,0.0,0,0,0,11,52.7,0,0,0,0.0,0
22,A,Jacksonville State,Southern Miss,Cam Cook,Rusher,0,0,0.0,0,0,0,21,97.4,1,0,0,0.0,0
22,A,Jacksonville State,Southern Miss,Gavin Wimsatt,Rusher,0,0,0.0,0,0,0,12,68.7,1,0,0,0.0,0
22,A,Jacksonville State,Southern Miss,Khristian Lando,Rusher,0,0,0.0,0,0,0,4,21.3,0,0,0,0.0,0
22,A,Jacksonville State,Southern Miss,Pearson Baldwin,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,13.4,0
22,A,Jacksonville State,Southern Miss,Deondre Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,55.0,1
22,A,Jacksonville State,Southern Miss,Brock Rechsteiner,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,48.7,1
22,A,Jacksonville State,Southern Miss,Michael Pettway,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
22,A,Jacksonville State,Southern Miss,Gabe Glover,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
22,A,Jacksonville State,Southern Miss,Caleb Coombs,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,39.1,0
22,A,Jacksonville State,Southern Miss,Franklin Baret Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,37.1,1
22,A,Jacksonville State,Southern Miss,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,35.6,0
22,A,Jacksonville State,Southern Miss,Harrison Hamsley,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,13.9,0
23,B,Jacksonville State,Southern Miss,Gavin Wimsatt,QB,37,21,265.5,2,0,6,0,0.0,0,0,0,0.0,0
23,B,Jacksonville State,Southern Miss,Gavin Wimsatt,Rusher,0,0,0.0,0,0,0,13,38.7,0,0,0,0.0,0
23,B,Jacksonville State,Southern Miss,Cam Cook,Rusher,0,0,0.0,0,0,0,15,86.2,1,0,0,0.0,0
23,B,Jacksonville State,Southern Miss,Andrew Paul,Rusher,0,0,0.0,0,0,0,4,19.0,1,0,0,0.0,0
23,B,Jacksonville State,Southern Miss,Khristian Lando,Rusher,0,0,0.0,0,0,0,2,5.9,0,0,0,0.0,0
23,B,Jacksonville State,Southern Miss,Harrison Hamsley,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
23,B,Jacksonville State,Southern Miss,Deondre Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,30.0,0
23,B,Jacksonville State,Southern Miss,Franklin Baret Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,21.8,0
23,B,Jacksonville State,Southern Miss,Gabe Glover,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,31.8,0
23,B,Jacksonville State,Southern Miss,Brock Rechsteiner,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,10,94.4,1
23,B,Jacksonville State,Southern Miss,Caleb Coombs,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,6,23.4,1
23,B,Jacksonville State,Southern Miss,Michael Pettway,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,22.1,0
23,B,Jacksonville State,Southern Miss,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,42.0,0
23,B,Jacksonville State,Southern Miss,Pearson Baldwin,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
