sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
16,A,Syracuse,Pittsburgh,Rickie Collins,QB,35,24,228.0,1,0,12,0,0.0,0,0,0,0.0,0
16,A,Syracuse,Pittsburgh,Will Nixon,Rusher,0,0,0.0,0,0,0,17,88.9,1,0,0,0.0,0
16,A,Syracuse,Pittsburgh,Yasin Willis,Rusher,0,0,0.0,0,0,0,18,35.6,0,0,0,0.0,0
16,A,Syracuse,Pittsburgh,Steven Angeli,Rusher,0,0,0.0,0,0,0,3,20.8,0,0,0,0.0,0
16,A,Syracuse,Pittsburgh,Rickie Collins,Rusher,0,0,0.0,0,0,0,1,9.1,0,0,0,0.0,0
16,A,Syracuse,Pittsburgh,Jaden Hart,Rusher,0,0,0.0,0,0,0,1,4.5,0,0,0,0.0,0
16,A,Syracuse,Pittsburgh,Darrell Gill Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,19.7,0
16,A,Syracuse,Pittsburgh,Johntay Cook II,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,29.9,0
16,A,Syracuse,Pittsburgh,Justus Ross-Simmons,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,77.4,1
16,A,Syracuse,Pittsburgh,Tyshawn Russell,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,8.5,0
16,A,Syracuse,Pittsburgh,Emanuel Ross,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,27.7,0
16,A,Syracuse,Pittsburgh,David Clement,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
16,A,Syracuse,Pittsburgh,Jaylan Hornsby,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,5,25.6,0
16,A,Syracuse,Pittsburgh,Dan Villari,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,22.7,0
16,A,Syracuse,Pittsburgh,Jamie Tremble,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,16.5,0
16,A,Pittsburgh,Syracuse,Eli Holstein,QB,30,24,220.3,2,0,9,0,0.0,0,0,0,0.0,0
16,A,Pittsburgh,Syracuse,Ja'Kyrian Turner,Rusher,0,0,0.0,0,0,0,4,11.6,0,0,0,0.0,0
16,A,Pittsburgh,Syracuse,Eli Holstein,Rusher,0,0,0.0,0,0,0,4,23.2,0,0,0,0.0,0
16,A,Pittsburgh,Syracuse,Desmond Reid,Rusher,0,0,0.0,0,0,0,9,70.0,1,0,0,0.0,0
16,A,Pittsburgh,Syracuse,Juelz Goff,Rusher,0,0,0.0,0,0,0,12,42.7,0,0,0,0.0,0
16,A,Pittsburgh,Syracuse,Jalynn Williams,Rusher,0,0,0.0,0,0,0,2,20.4,0,0,0,0.0,0
16,A,Pittsburgh,Syracuse,Cataurus Hicks,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,30.9,0
16,A,Pittsburgh,Syracuse,Malachi Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,4.0,0
16,A,Pittsburgh,Syracuse,Raphael Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,8,19.5,0
16,A,Pittsburgh,Syracuse,Justin Holmes,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,11.9,0
16,A,Pittsburgh,Syracuse,Kenny Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,6,55.0,0
16,A,Pittsburgh,Syracuse,Josh Altsman,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,17.8,0
16,A,Pittsburgh,Syracuse,Jake Overman,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,17.2,0
16,A,Pittsburgh,Syracuse,Bryce Yates,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,48.5,1
16,A,Pittsburgh,Syracuse,Deuce Spann,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,15.5,1
17,B,Pittsburgh,Syracuse,Eli Holstein,QB,31,17,263.5,0,0,6,0,0.0,0,0,0,0.0,0
17,B,Pittsburgh,Syracuse,Desmond Reid,Rusher,0,0,0.0,0,0,0,15,61.7,1,0,0,0.0,0
17,B,Pittsburgh,Syracuse,Jalynn Williams,Rusher,0,0,0.0,0,0,0,2,10.1,0,0,0,0.0,0
17,B,Pittsburgh,Syracuse,Ja'Kyrian Turner,Rusher,0,0,0.0,0,0,0,10,66.2,2,0,0,0.0,0
17,B,Pittsburgh,Syracuse,Juelz Goff,Rusher,0,0,0.0,0,0,0,9,43.3,0,0,0,0.0,0
17,B,Pittsburgh,Syracuse,Eli Holstein,Rusher,0,0,0.0,0,0,0,8,28.2,1,0,0,0.0,0
17,B,Pittsburgh,Syracuse,Deuce Spann,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,16.4,0
17,B,Pittsburgh,Syracuse,Cataurus Hicks,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,36.8,0
17,B,Pittsburgh,Syracuse,Malachi Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,20.3,0
17,B,Pittsburgh,Syracuse,Jake Overman,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,58.1,0
17,B,Pittsburgh,Syracuse,Kenny Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,37.2,0
17,B,Pittsburgh,Syracuse,Justin Holmes,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
17,B,Pittsburgh,Syracuse,Raphael Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,35.8,0
17,B,Pittsburgh,Syracuse,Josh Altsman,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
17,B,Pittsburgh,Syracuse,Zion Fowler-El,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,59.0,0
17,B,Syracuse,Pittsburgh,Rickie Collins,QB,38,23,253.3,1,0,11,0,0.0,0,0,0,0.0,0
17,B,Syracuse,Pittsburgh,Yasin Willis,Rusher,0,0,0.0,0,0,0,14,72.5,0,0,0,0.0,0
17,B,Syracuse,Pittsburgh,Jaden Hart,Rusher,0,0,0.0,0,0,0,4,10.3,0,0,0,0.0,0
17,B,Syracuse,Pittsburgh,Rickie Collins,Rusher,0,0,0.0,0,0,0,4,32.3,1,0,0,0.0,0
17,B,Syracuse,Pittsburgh,Will Nixon,Rusher,0,0,0.0,0,0,0,10,32.9,1,0,0,0.0,0
17,B,Syracuse,Pittsburgh,Steven Angeli,Rusher,0,0,0.0,0,0,0,4,-3.7,0,0,0,0.0,0
17,B,Syracuse,Pittsburgh,Jaylan Hornsby,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,9,38.4,1
17,B,Syracuse,Pittsburgh,Darrell Gill Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,16.0,0
17,B,Syracuse,Pittsburgh,Dan Villari,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,17.9,0
17,B,Syracuse,Pittsburgh,Emanuel Ross,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,46.2,0
17,B,Syracuse,Pittsburgh,Justus Ross-Simmons,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,34.2,0
17,B,Syracuse,Pittsburgh,Johntay Cook II,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,10,66.2,0
17,B,Syracuse,Pittsburgh,Tyshawn Russell,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,34.4,0
18,A,Syracuse,Pittsburgh,Rickie Collins,QB,28,13,154.8,0,0,6,0,0.0,0,0,0,0.0,0
18,A,Syracuse,Pittsburgh,Yasin Willis,Rusher,0,0,0.0,0,0,0,19,109.0,1,0,0,0.0,0
18,A,Syracuse,Pittsburgh,Jaden Hart,Rusher,0,0,0.0,0,0,0,8,45.7,0,0,0,0.0,0
18,A,Syracuse,Pittsburgh,Will Nixon,Rusher,0,0,0.0,0,0,0,10,72.4,3,0,0,0.0,0
18,A,Syracuse,Pittsburgh,Rickie Collins,Rusher,0,0,0.0,0,0,0,1,3.7,0,0,0,0.0,0
18,A,Syracuse,Pittsburgh,Steven Angeli,Rusher,0,0,0.0,0,0,0,1,0.9,0,0,0,0.0,0
18,A,Syracuse,Pittsburgh,Justus Ross-Simmons,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,7,46.1,0
18,A,Syracuse,Pittsburgh,Johntay Cook II,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,36.1,0
18,A,Syracuse,Pittsburgh,Emanuel Ross,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
18,A,Syracuse,Pittsburgh,Darrell Gill Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,21.2,0
18,A,Syracuse,Pittsburgh,Dan Villari,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,3.7,0
18,A,Syracuse,Pittsburgh,Jaylan Hornsby,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,40.0,0
18,A,Syracuse,Pittsburgh,Tyshawn Russell,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,7.7,0
18,A,Syracuse,Pittsburgh,Jamie Tremble,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
18,A,Pittsburgh,Syracuse,Eli Holstein,QB,43,30,341.2,1,0,7,0,0.0,0,0,0,0.0,0
18,A,Pittsburgh,Syracuse,Desmond Reid,Rusher,0,0,0.0,0,0,0,11,45.8,1,0,0,0.0,0
18,A,Pittsburgh,Syracuse,Eli Holstein,Rusher,0,0,0.0,0,0,0,11,34.8,0,0,0,0.0,0
18,A,Pittsburgh,Syracuse,Ja'Kyrian Turner,Rusher,0,0,0.0,0,0,0,12,83.0,2,0,0,0.0,0
18,A,Pittsburgh,Syracuse,Juelz Goff,Rusher,0,0,0.0,0,0,0,8,26.9,0,0,0,0.0,0
18,A,Pittsburgh,Syracuse,Jalynn Williams,Rusher,0,0,0.0,0,0,0,1,12.7,0,0,0,0.0,0
18,A,Pittsburgh,Syracuse,Cataurus Hicks,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,7,40.9,0
18,A,Pittsburgh,Syracuse,Kenny Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,7,44.1,0
18,A,Pittsburgh,Syracuse,Bryce Yates,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,28.7,0
18,A,Pittsburgh,Syracuse,Malachi Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,20.4,0
18,A,Pittsburgh,Syracuse,Justin Holmes,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,8,80.6,1
18,A,Pittsburgh,Syracuse,Jake Overman,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,8.1,0
18,A,Pittsburgh,Syracuse,Raphael Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,8,105.1,0
18,A,Pittsburgh,Syracuse,Zion Fowler-El,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.6,0
18,A,Pittsburgh,Syracuse,Josh Altsman,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,12.7,0
19,B,Pittsburgh,Syracuse,Eli Holstein,QB,43,35,376.8,4,0,4,0,0.0,0,0,0,0.0,0
19,B,Pittsburgh,Syracuse,Eli Holstein,Rusher,0,0,0.0,0,0,0,11,59.1,1,0,0,0.0,0
19,B,Pittsburgh,Syracuse,Juelz Goff,Rusher,0,0,0.0,0,0,0,9,23.9,0,0,0,0.0,0
19,B,Pittsburgh,Syracuse,Jalynn Williams,Rusher,0,0,0.0,0,0,0,4,32.4,1,0,0,0.0,0
19,B,Pittsburgh,Syracuse,Desmond Reid,Rusher,0,0,0.0,0,0,0,14,67.2,0,0,0,0.0,0
19,B,Pittsburgh,Syracuse,Ja'Kyrian Turner,Rusher,0,0,0.0,0,0,0,8,41.4,0,0,0,0.0,0
19,B,Pittsburgh,Syracuse,Zion Fowler-El,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,16.1,0
19,B,Pittsburgh,Syracuse,Jake Overman,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,47.5,1
19,B,Pittsburgh,Syracuse,Josh Altsman,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,23.7,1
19,B,Pittsburgh,Syracuse,Kenny Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,10,101.0,1
19,B,Pittsburgh,Syracuse,Deuce Spann,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,55.5,0
19,B,Pittsburgh,Syracuse,Justin Holmes,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,22.8,0
19,B,Pittsburgh,Syracuse,Cataurus Hicks,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,55.6,1
19,B,Pittsburgh,Syracuse,Bryce Yates,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,17.5,0
19,B,Pittsburgh,Syracuse,Malachi Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,11.9,0
19,B,Pittsburgh,Syracuse,Raphael Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,7,25.2,0
19,B,Syracuse,Pittsburgh,Rickie Collins,QB,30,22,208.9,1,0,7,0,0.0,0,0,0,0.0,0
19,B,Syracuse,Pittsburgh,Yasin Willis,Rusher,0,0,0.0,0,0,0,14,71.4,1,0,0,0.0,0
19,B,Syracuse,Pittsburgh,Rickie Collins,Rusher,0,0,0.0,0,0,0,2,11.9,0,0,0,0.0,0
19,B,Syracuse,Pittsburgh,Will Nixon,Rusher,0,0,0.0,0,0,0,11,36.1,1,0,0,0.0,0
19,B,Syracuse,Pittsburgh,Jaden Hart,Rusher,0,0,0.0,0,0,0,4,14.1,0,0,0,0.0,0
19,B,Syracuse,Pittsburgh,Darrell Gill Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,8,71.5,0
19,B,Syracuse,Pittsburgh,Johntay Cook II,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,31.0,0
19,B,Syracuse,Pittsburgh,Dan Villari,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.0,0
19,B,Syracuse,Pittsburgh,Jaylan Hornsby,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,51.9,1
19,B,Syracuse,Pittsburgh,Tyshawn Russell,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
19,B,Syracuse,Pittsburgh,Emanuel Ross,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,19.6,0
19,B,Syracuse,Pittsburgh,David Clement,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
19,B,Syracuse,Pittsburgh,Jamie Tremble,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,9.0,0
19,B,Syracuse,Pittsburgh,Justus Ross-Simmons,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,25.9,0
20,A,Syracuse,Pittsburgh,Rickie Collins,QB,29,21,212.4,2,0,8,0,0.0,0,0,0,0.0,0
20,A,Syracuse,Pittsburgh,Yasin Willis,Rusher,0,0,0.0,0,0,0,14,72.5,0,0,0,0.0,0
20,A,Syracuse,Pittsburgh,Steven Angeli,Rusher,0,0,0.0,0,0,0,2,-1.1,0,0,0,0.0,0
20,A,Syracuse,Pittsburgh,Will Nixon,Rusher,0,0,0.0,0,0,0,11,44.7,0,0,0,0.0,0
20,A,Syracuse,Pittsburgh,Rickie Collins,Rusher,0,0,0.0,0,0,0,2,22.9,0,0,0,0.0,0
20,A,Syracuse,Pittsburgh,Jaden Hart,Rusher,0,0,0.0,0,0,0,2,2.3,0,0,0,0.0,0
20,A,Syracuse,Pittsburgh,Johntay Cook II,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,51.8,1
20,A,Syracuse,Pittsburgh,Darrell Gill Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,26.4,0
20,A,Syracuse,Pittsburgh,Justus Ross-Simmons,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,28.2,0
20,A,Syracuse,Pittsburgh,Jamie Tremble,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,1.0,0
20,A,Syracuse,Pittsburgh,Dan Villari,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,59.1,1
20,A,Syracuse,Pittsburgh,Tyshawn Russell,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,24.2,0
20,A,Syracuse,Pittsburgh,David Clement,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,19.3,0
20,A,Syracuse,Pittsburgh,Emanuel Ross,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,2.4,0
20,A,Syracuse,Pittsburgh,Jaylan Hornsby,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
20,A,Pittsburgh,Syracuse,Eli Holstein,QB,31,23,248.2,2,0,4,0,0.0,0,0,0,0.0,0
20,A,Pittsburgh,Syracuse,Eli Holstein,Rusher,0,0,0.0,0,0,0,9,50.3,0,0,0,0.0,0
20,A,Pittsburgh,Syracuse,Jalynn Williams,Rusher,0,0,0.0,0,0,0,4,6.0,0,0,0,0.0,0
20,A,Pittsburgh,Syracuse,Ja'Kyrian Turner,Rusher,0,0,0.0,0,0,0,10,32.1,0,0,0,0.0,0
20,A,Pittsburgh,Syracuse,Desmond Reid,Rusher,0,0,0.0,0,0,0,11,43.4,1,0,0,0.0,0
20,A,Pittsburgh,Syracuse,Juelz Goff,Rusher,0,0,0.0,0,0,0,14,72.6,1,0,0,0.0,0
20,A,Pittsburgh,Syracuse,Malachi Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,9.8,0
20,A,Pittsburgh,Syracuse,Kenny Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,46.3,0
20,A,Pittsburgh,Syracuse,Raphael Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,65.5,0
20,A,Pittsburgh,Syracuse,Josh Altsman,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,16.8,0
20,A,Pittsburgh,Syracuse,Bryce Yates,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,22.3,1
20,A,Pittsburgh,Syracuse,Cataurus Hicks,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,33.8,1
20,A,Pittsburgh,Syracuse,Zion Fowler-El,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,20.5,0
20,A,Pittsburgh,Syracuse,Justin Holmes,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,24.7,0
20,A,Pittsburgh,Syracuse,Jake Overman,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,8.5,0
21,B,Pittsburgh,Syracuse,Eli Holstein,QB,30,22,257.3,3,0,3,0,0.0,0,0,0,0.0,0
21,B,Pittsburgh,Syracuse,Desmond Reid,Rusher,0,0,0.0,0,0,0,13,78.2,2,0,0,0.0,0
21,B,Pittsburgh,Syracuse,Ja'Kyrian Turner,Rusher,0,0,0.0,0,0,0,12,65.8,0,0,0,0.0,0
21,B,Pittsburgh,Syracuse,Eli Holstein,Rusher,0,0,0.0,0,0,0,6,9.2,0,0,0,0.0,0
21,B,Pittsburgh,Syracuse,Juelz Goff,Rusher,0,0,0.0,0,0,0,7,55.2,0,0,0,0.0,0
21,B,Pittsburgh,Syracuse,Jalynn Williams,Rusher,0,0,0.0,0,0,0,2,12.0,0,0,0,0.0,0
21,B,Pittsburgh,Syracuse,Justin Holmes,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,3.0,0
21,B,Pittsburgh,Syracuse,Kenny Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,21.5,0
21,B,Pittsburgh,Syracuse,Raphael Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,41.2,1
21,B,Pittsburgh,Syracuse,Josh Altsman,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,16.6,0
21,B,Pittsburgh,Syracuse,Bryce Yates,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,44.5,1
21,B,Pittsburgh,Syracuse,Malachi Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,47.0,0
21,B,Pittsburgh,Syracuse,Jake Overman,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,36.5,1
21,B,Pittsburgh,Syracuse,Deuce Spann,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,21.1,0
21,B,Pittsburgh,Syracuse,Cataurus Hicks,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,7.6,0
21,B,Pittsburgh,Syracuse,Zion Fowler-El,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,18.3,0
21,B,Syracuse,Pittsburgh,Rickie Collins,QB,42,30,311.3,0,0,6,0,0.0,0,0,0,0.0,0
21,B,Syracuse,Pittsburgh,Will Nixon,Rusher,0,0,0.0,0,0,0,10,33.9,0,0,0,0.0,0
21,B,Syracuse,Pittsburgh,Yasin Willis,Rusher,0,0,0.0,0,0,0,14,62.5,2,0,0,0.0,0
21,B,Syracuse,Pittsburgh,Steven Angeli,Rusher,0,0,0.0,0,0,0,3,5.7,0,0,0,0.0,0
21,B,Syracuse,Pittsburgh,Jaden Hart,Rusher,0,0,0.0,0,0,0,4,7.7,0,0,0,0.0,0
21,B,Syracuse,Pittsburgh,Rickie Collins,Rusher,0,0,0.0,0,0,0,1,11.8,0,0,0,0.0,0
21,B,Syracuse,Pittsburgh,Johntay Cook II,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,8,69.6,0
21,B,Syracuse,Pittsburgh,Emanuel Ross,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,9,68.6,0
21,B,Syracuse,Pittsburgh,Jaylan Hornsby,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,16.7,0
21,B,Syracuse,Pittsburgh,Darrell Gill Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,56.9,0
21,B,Syracuse,Pittsburgh,Justus Ross-Simmons,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,9,71.6,0
21,B,Syracuse,Pittsburgh,Dan Villari,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,12.9,0
21,B,Syracuse,Pittsburgh,Tyshawn Russell,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,15.0,0
21,B,Syracuse,Pittsburgh,Jamie Tremble,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
21,B,Syracuse,Pittsburgh,David Clement,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
22,A,Syracuse,Pittsburgh,Rickie Collins,QB,27,21,194.6,0,0,9,0,0.0,0,0,0,0.0,0
22,A,Syracuse,Pittsburgh,Will Nixon,Rusher,0,0,0.0,0,0,0,11,29.4,0,0,0,0.0,0
22,A,Syracuse,Pittsburgh,Yasin Willis,Rusher,0,0,0.0,0,0,0,18,112.9,2,0,0,0.0,0
22,A,Syracuse,Pittsburgh,Steven Angeli,Rusher,0,0,0.0,0,0,0,6,17.0,0,0,0,0.0,0
22,A,Syracuse,Pittsburgh,Rickie Collins,Rusher,0,0,0.0,0,0,0,2,16.2,0,0,0,0.0,0
22,A,Syracuse,Pittsburgh,Jaden Hart,Rusher,0,0,0.0,0,0,0,2,9.6,0,0,0,0.0,0
22,A,Syracuse,Pittsburgh,Dan Villari,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,14.3,0
22,A,Syracuse,Pittsburgh,Tyshawn Russell,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,36.8,0
22,A,Syracuse,Pittsburgh,Darrell Gill Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,41.5,0
22,A,Syracuse,Pittsburgh,Johntay Cook II,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,18.3,0
22,A,Syracuse,Pittsburgh,Emanuel Ross,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,45.3,0
22,A,Syracuse,Pittsburgh,Jamie Tremble,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,13.7,0
22,A,Syracuse,Pittsburgh,Justus Ross-Simmons,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,0.8,0
22,A,Syracuse,Pittsburgh,David Clement,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,9.1,0
22,A,Syracuse,Pittsburgh,Jaylan Hornsby,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,14.9,0
22,A,Pittsburgh,Syracuse,Eli Holstein,QB,27,24,243.4,1,0,4,0,0.0,0,0,0,0.0,0
22,A,Pittsburgh,Syracuse,Desmond Reid,Rusher,0,0,0.0,0,0,0,18,70.5,1,0,0,0.0,0
22,A,Pittsburgh,Syracuse,Eli Holstein,Rusher,0,0,0.0,0,0,0,4,9.5,1,0,0,0.0,0
22,A,Pittsburgh,Syracuse,Ja'Kyrian Turner,Rusher,0,0,0.0,0,0,0,3,16.2,0,0,0,0.0,0
22,A,Pittsburgh,Syracuse,Juelz Goff,Rusher,0,0,0.0,0,0,0,15,76.6,1,0,0,0.0,0
22,A,Pittsburgh,Syracuse,Jalynn Williams,Rusher,0,0,0.0,0,0,0,3,2.2,0,0,0,0.0,0
22,A,Pittsburgh,Syracuse,Raphael Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,9,73.7,0
22,A,Pittsburgh,Syracuse,Zion Fowler-El,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,17.0,0
22,A,Pittsburgh,Syracuse,Bryce Yates,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,16.6,0
22,A,Pittsburgh,Syracuse,Cataurus Hicks,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,21.2,0
22,A,Pittsburgh,Syracuse,Kenny Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,43.8,1
22,A,Pittsburgh,Syracuse,Josh Altsman,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
22,A,Pittsburgh,Syracuse,Malachi Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,43.9,0
22,A,Pittsburgh,Syracuse,Justin Holmes,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,4.6,0
22,A,Pittsburgh,Syracuse,Jake Overman,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,7.2,0
22,A,Pittsburgh,Syracuse,Deuce Spann,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,15.3,0
23,B,Pittsburgh,Syracuse,Eli Holstein,QB,28,22,156.3,1,0,4,0,0.0,0,0,0,0.0,0
23,B,Pittsburgh,Syracuse,Ja'Kyrian Turner,Rusher,0,0,0.0,0,0,0,13,61.6,0,0,0,0.0,0
23,B,Pittsburgh,Syracuse,Eli Holstein,Rusher,0,0,0.0,0,0,0,11,12.4,0,0,0,0.0,0
23,B,Pittsburgh,Syracuse,Jalynn Williams,Rusher,0,0,0.0,0,0,0,3,25.3,0,0,0,0.0,0
23,B,Pittsburgh,Syracuse,Juelz Goff,Rusher,0,0,0.0,0,0,0,11,50.4,2,0,0,0.0,0
23,B,Pittsburgh,Syracuse,Desmond Reid,Rusher,0,0,0.0,0,0,0,9,54.8,0,0,0,0.0,0
23,B,Pittsburgh,Syracuse,Kenny Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,6,17.6,0
23,B,Pittsburgh,Syracuse,Raphael Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,28.3,0
23,B,Pittsburgh,Syracuse,Deuce Spann,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,8.9,0
