team,opp,pts,opp_pts,plays,opp_plays
Marshall,Old Dominion,21,7,75,55
Old Dominion,Marshall,34,7,75,66
Marshall,Old Dominion,9,31,64,71
Old Dominion,Marshall,41,14,68,67
Marshall,Old Dominion,21,19,61,72
Old Dominion,Marshall,33,3,83,54
Marshall,Old Dominion,0,45,61,85
Old Dominion,Marshall,28,0,71,57
Marshall,Old Dominion,27,41,72,70
Old Dominion,Marshall,16,10,74,58
Marshall,Old Dominion,14,28,63,70
Old Dominion,Marshall,38,10,69,69
Marshall,Old Dominion,16,24,71,63
Old Dominion,Marshall,28,10,60,71
Marshall,Old Dominion,20,37,67,66
Old Dominion,Marshall,21,17,58,78
Marshall,Old Dominion,6,38,64,75
Old Dominion,Marshall,10,38,76,60
Marshall,Old Dominion,10,28,59,77
Old Dominion,Marshall,38,10,73,65
Marshall,Old Dominion,3,27,72,67
Old Dominion,Marshall,14,30,56,78
Marshall,Old Dominion,7,27,68,60
Old Dominion,Marshall,35,27,71,60
Marshall,Old Dominion,3,41,64,81
Old Dominion,Marshall,30,21,60,74
Marshall,Old Dominion,24,24,67,67
Old Dominion,Marshall,35,7,73,58
Marshall,Old Dominion,24,20,72,71
Old Dominion,Marshall,31,17,71,58
Marshall,Old Dominion,7,31,60,67
Old Dominion,Marshall,34,3,71,70
Marshall,Old Dominion,10,45,77,72
Old Dominion,Marshall,44,10,93,53
Marshall,Old Dominion,17,27,65,69
Old Dominion,Marshall,55,0,82,59
Marshall,Old Dominion,3,21,67,65
Old Dominion,Marshall,27,14,68,62
Marshall,Old Dominion,20,24,72,69
Old Dominion,Marshall,24,17,65,67
Marshall,Old Dominion,9,17,77,59
Old Dominion,Marshall,27,20,68,75
Marshall,Old Dominion,14,34,67,64
Old Dominion,Marshall,31,24,68,77
Marshall,Old Dominion,20,3,73,57
Old Dominion,Marshall,21,21,66,67
Marshall,Old Dominion,23,20,62,72
Old Dominion,Marshall,23,14,75,63
Marshall,Old Dominion,10,33,64,74
Old Dominion,Marshall,49,27,73,66
Marshall,Old Dominion,10,38,64,67
Old Dominion,Marshall,17,0,76,68
Marshall,Old Dominion,7,31,78,66
Old Dominion,Marshall,9,16,74,64
Marshall,Old Dominion,24,49,65,75
Old Dominion,Marshall,24,20,58,65
Marshall,Old Dominion,3,59,65,68
Old Dominion,Marshall,35,10,76,66
Marshall,Old Dominion,14,48,71,73
Old Dominion,Marshall,30,17,73,61
Marshall,Old Dominion,0,31,71,65
Old Dominion,Marshall,27,17,70,69
Marshall,Old Dominion,16,14,67,66
Old Dominion,Marshall,35,35,83,65
Marshall,Old Dominion,10,23,65,74
Old Dominion,Marshall,17,24,67,67
Marshall,Old Dominion,24,20,69,52
Old Dominion,Marshall,35,7,81,53
Marshall,Old Dominion,17,31,75,62
Old Dominion,Marshall,20,20,75,58
Marshall,Old Dominion,20,14,70,65
Old Dominion,Marshall,27,20,65,74
Marshall,Old Dominion,24,21,71,65
Old Dominion,Marshall,24,17,71,69
Marshall,Old Dominion,3,41,69,71
Old Dominion,Marshall,42,10,66,68
Marshall,Old Dominion,0,62,58,84
Old Dominion,Marshall,16,14,75,65
Marshall,Old Dominion,17,14,70,65
Old Dominion,Marshall,21,27,62,73
Marshall,Old Dominion,14,38,82,54
Old Dominion,Marshall,10,21,67,68
Marshall,Old Dominion,10,44,60,83
Old Dominion,Marshall,28,13,78,63
Marshall,Old Dominion,24,31,69,64
Old Dominion,Marshall,38,14,66,77
Marshall,Old Dominion,0,37,65,76
Old Dominion,Marshall,17,10,72,64
Marshall,Old Dominion,27,24,69,61
