team,opp,pts,opp_pts,plays,opp_plays
South Carolina,Coastal Carolina,14,24,64,67
Coastal Carolina,South Carolina,14,24,69,63
South Carolina,Coastal Carolina,24,7,72,60
Coastal Carolina,South Carolina,21,49,72,63
South Carolina,Coastal Carolina,27,23,73,67
Coastal Carolina,South Carolina,3,28,74,69
South Carolina,Coastal Carolina,21,0,69,67
Coastal Carolina,South Carolina,7,28,67,68
South Carolina,Coastal Carolina,23,14,67,65
Coastal Carolina,South Carolina,14,41,72,70
South Carolina,Coastal Carolina,35,10,71,67
Coastal Carolina,South Carolina,17,34,65,72
South Carolina,Coastal Carolina,14,24,77,62
Coastal Carolina,South Carolina,14,27,66,69
South Carolina,Coastal Carolina,20,14,77,60
Coastal Carolina,South Carolina,0,24,64,69
South Carolina,Coastal Carolina,17,17,65,76
Coastal Carolina,South Carolina,6,31,64,72
South Carolina,Coastal Carolina,38,17,71,68
Coastal Carolina,South Carolina,0,38,57,73
South Carolina,Coastal Carolina,41,14,74,62
Coastal Carolina,South Carolina,17,21,71,74
South Carolina,Coastal Carolina,20,13,67,70
Coastal Carolina,South Carolina,34,17,67,69
South Carolina,Coastal Carolina,33,17,79,58
Coastal Carolina,South Carolina,14,14,76,59
South Carolina,Coastal Carolina,28,0,74,63
Coastal Carolina,South Carolina,3,35,54,78
South Carolina,Coastal Carolina,13,24,82,59
Coastal Carolina,South Carolina,23,14,78,63
South Carolina,Coastal Carolina,24,17,69,72
Coastal Carolina,South Carolina,7,27,71,69
South Carolina,Coastal Carolina,10,38,72,69
Coastal Carolina,South Carolina,19,24,77,66
South Carolina,Coastal Carolina,27,35,73,70
Coastal Carolina,South Carolina,23,20,82,67
South Carolina,Coastal Carolina,41,20,70,80
Coastal Carolina,South Carolina,9,21,70,65
South Carolina,Coastal Carolina,7,20,67,69
Coastal Carolina,South Carolina,17,16,67,71
South Carolina,Coastal Carolina,21,21,77,65
Coastal Carolina,South Carolina,27,24,78,59
South Carolina,Coastal Carolina,44,10,69,64
Coastal Carolina,South Carolina,13,38,58,73
South Carolina,Coastal Carolina,45,10,79,59
Coastal Carolina,South Carolina,14,48,63,73
South Carolina,Coastal Carolina,27,21,82,58
Coastal Carolina,South Carolina,14,10,64,66
South Carolina,Coastal Carolina,34,20,79,58
Coastal Carolina,South Carolina,14,31,75,67
South Carolina,Coastal Carolina,14,30,70,64
Coastal Carolina,South Carolina,3,30,65,71
South Carolina,Coastal Carolina,40,17,84,60
Coastal Carolina,South Carolina,14,30,60,74
South Carolina,Coastal Carolina,30,20,73,70
Coastal Carolina,South Carolina,9,35,79,67
South Carolina,Coastal Carolina,37,7,86,45
Coastal Carolina,South Carolina,10,49,59,81
South Carolina,Coastal Carolina,34,14,79,67
Coastal Carolina,South Carolina,41,24,81,59
South Carolina,Coastal Carolina,42,6,83,61
Coastal Carolina,South Carolina,17,27,71,72
South Carolina,Coastal Carolina,31,6,80,59
Coastal Carolina,South Carolina,17,35,66,73
South Carolina,Coastal Carolina,20,26,71,72
Coastal Carolina,South Carolina,17,38,70,69
South Carolina,Coastal Carolina,20,20,78,63
Coastal Carolina,South Carolina,16,31,71,70
South Carolina,Coastal Carolina,28,0,77,58
Coastal Carolina,South Carolina,14,20,67,69
South Carolina,Coastal Carolina,38,17,69,69
Coastal Carolina,South Carolina,31,23,73,66
South Carolina,Coastal Carolina,38,7,73,69
Coastal Carolina,South Carolina,9,20,68,67
South Carolina,Coastal Carolina,16,6,68,64
Coastal Carolina,South Carolina,7,31,65,70
South Carolina,Coastal Carolina,10,34,75,68
Coastal Carolina,South Carolina,21,28,85,64
South Carolina,Coastal Carolina,41,7,80,55
Coastal Carolina,South Carolina,21,38,50,82
South Carolina,Coastal Carolina,20,0,82,48
Coastal Carolina,South Carolina,16,37,65,76
South Carolina,Coastal Carolina,28,21,77,56
Coastal Carolina,South Carolina,7,24,63,70
South Carolina,Coastal Carolina,17,34,67,77
Coastal Carolina,South Carolina,14,31,61,75
South Carolina,Coastal Carolina,27,7,82,46
Coastal Carolina,South Carolina,14,23,66,75
South Carolina,Coastal Carolina,10,14,84,56
Coastal Carolina,South Carolina,20,28,67,68
South Carolina,Coastal Carolina,17,31,67,73
Coastal Carolina,South Carolina,13,30,72,65
South Carolina,Coastal Carolina,17,14,60,77
Coastal Carolina,South Carolina,17,56,62,75
South Carolina,Coastal Carolina,17,38,71,78
Coastal Carolina,South Carolina,6,13,58,73
South Carolina,Coastal Carolina,34,7,76,63
Coastal Carolina,South Carolina,3,24,54,77
South Carolina,Coastal Carolina,20,20,69,70
Coastal Carolina,South Carolina,14,31,53,74
South Carolina,Coastal Carolina,37,3,85,51
Coastal Carolina,South Carolina,7,21,75,59
South Carolina,Coastal Carolina,17,21,68,65
Coastal Carolina,South Carolina,0,20,61,75
South Carolina,Coastal Carolina,33,24,70,71
Coastal Carolina,South Carolina,14,27,70,73
South Carolina,Coastal Carolina,26,10,69,72
Coastal Carolina,South Carolina,0,10,65,72
South Carolina,Coastal Carolina,52,3,86,54
Coastal Carolina,South Carolina,10,31,63,74
South Carolina,Coastal Carolina,31,28,85,65
Coastal Carolina,South Carolina,20,19,64,80
South Carolina,Coastal Carolina,23,24,76,74
Coastal Carolina,South Carolina,28,48,67,75
South Carolina,Coastal Carolina,47,0,79,55
Coastal Carolina,South Carolina,24,13,64,76
South Carolina,Coastal Carolina,31,20,77,61
Coastal Carolina,South Carolina,38,9,93,48
South Carolina,Coastal Carolina,23,20,66,73
Coastal Carolina,South Carolina,21,17,62,76
South Carolina,Coastal Carolina,17,20,79,58
Coastal Carolina,South Carolina,14,34,72,72
South Carolina,Coastal Carolina,14,6,65,69
Coastal Carolina,South Carolina,10,28,84,60
South Carolina,Coastal Carolina,18,14,74,59
Coastal Carolina,South Carolina,14,31,68,75
South Carolina,Coastal Carolina,31,27,60,78
Coastal Carolina,South Carolina,27,24,70,71
South Carolina,Coastal Carolina,13,21,86,58
Coastal Carolina,South Carolina,28,14,73,58
South Carolina,Coastal Carolina,10,6,55,90
Coastal Carolina,South Carolina,24,14,69,72
South Carolina,Coastal Carolina,28,14,74,65
Coastal Carolina,South Carolina,14,20,77,59
South Carolina,Coastal Carolina,17,23,60,87
Coastal Carolina,South Carolina,6,34,69,68
South Carolina,Coastal Carolina,10,21,75,66
Coastal Carolina,South Carolina,21,20,62,71
South Carolina,Coastal Carolina,27,23,71,74
Coastal Carolina,South Carolina,6,20,63,70
South Carolina,Coastal Carolina,17,24,71,65
Coastal Carolina,South Carolina,17,20,77,68
South Carolina,Coastal Carolina,28,21,64,77
Coastal Carolina,South Carolina,3,34,59,79
South Carolina,Coastal Carolina,16,20,69,64
Coastal Carolina,South Carolina,23,20,72,66
South Carolina,Coastal Carolina,44,17,84,62
Coastal Carolina,South Carolina,10,35,57,79
South Carolina,Coastal Carolina,21,20,61,67
Coastal Carolina,South Carolina,14,13,67,73
South Carolina,Coastal Carolina,21,42,71,74
Coastal Carolina,South Carolina,20,16,70,75
South Carolina,Coastal Carolina,17,7,75,65
Coastal Carolina,South Carolina,7,33,50,79
South Carolina,Coastal Carolina,13,10,71,67
Coastal Carolina,South Carolina,20,35,63,69
South Carolina,Coastal Carolina,17,3,67,62
Coastal Carolina,South Carolina,6,17,68,69
South Carolina,Coastal Carolina,25,10,79,49
Coastal Carolina,South Carolina,24,27,76,66
South Carolina,Coastal Carolina,20,21,73,61
Coastal Carolina,South Carolina,16,10,72,65
South Carolina,Coastal Carolina,35,7,82,61
Coastal Carolina,South Carolina,21,44,68,71
South Carolina,Coastal Carolina,17,14,67,75
Coastal Carolina,South Carolina,3,24,63,59
South Carolina,Coastal Carolina,23,3,64,65
Coastal Carolina,South Carolina,6,28,64,71
South Carolina,Coastal Carolina,31,10,69,64
Coastal Carolina,South Carolina,31,21,66,72
South Carolina,Coastal Carolina,28,21,72,75
Coastal Carolina,South Carolina,17,10,63,76
South Carolina,Coastal Carolina,17,6,72,67
Coastal Carolina,South Carolina,28,10,78,57
South Carolina,Coastal Carolina,24,27,80,64
Coastal Carolina,South Carolina,10,14,71,67
South Carolina,Coastal Carolina,35,0,78,69
Coastal Carolina,South Carolina,34,7,78,65
South Carolina,Coastal Carolina,33,10,71,65
Coastal Carolina,South Carolina,3,27,69,64
South Carolina,Coastal Carolina,17,16,74,63
Coastal Carolina,South Carolina,16,17,66,69
South Carolina,Coastal Carolina,31,21,80,59
Coastal Carolina,South Carolina,14,34,68,68
South Carolina,Coastal Carolina,20,3,76,65
Coastal Carolina,South Carolina,3,20,67,70
South Carolina,Coastal Carolina,17,23,74,68
Coastal Carolina,South Carolina,24,27,71,72
South Carolina,Coastal Carolina,41,17,69,68
Coastal Carolina,South Carolina,21,20,70,69
South Carolina,Coastal Carolina,17,7,64,65
